origin destination reason MODO HMV RED duration distance strata age gender FEV ID 
123 31 1 3 5.292 AM 95 3.9706 s_5 50 1 81.58000575 79 
31 337 1 3 6.75 AM 30 14.8387 s_5 50 1 97.89600689 79 
337 123 6 3 8.5 AM 60 11.7996 s_5 50 1 81.58000575 79 
123 2 1 3 7.125 AM 15 2.9936 s_5 25 2 48.94800345 80 
2 123 6 3 17.75 PM 30 2.9936 s_5 25 2 57.10600402 80 
123 78 2 3 5.75 AM 30 4.221 s_5 19 1 81.58000575 81 
78 130 1 3 13.75 MD 30 4.7004 s_5 19 1 81.58000575 81 
130 123 6 3 18.042 PM 5 0.5137 s_5 19 1 146.8440103 81 
130 1 1 2 9.75 AM 30 3.2348 s_5 57 1 81.58000575 82 
1 130 6 2 12.25 MD 30 3.2348 s_5 57 1 81.58000575 82 
130 89 5 3 15.333 MD 40 7.2165 s_5 57 1 81.58000575 82 
88 130 6 3 19.333 PM 40 6.6474 s_5 57 1 81.58000575 82 
130 130 5 1 9.5 AM 60 0 s_5 55 2 81.58000575 83 
130 88 3 3 15.333 MD 40 6.6474 s_5 55 2 81.58000575 83 
88 130 6 3 19.333 PM 40 6.6474 s_5 55 2 81.58000575 83 
130 60 1 2 7.25 AM 30 3.4618 s_5 27 2 81.58000575 84 
60 130 6 2 11.75 MD 30 3.4618 s_5 27 2 81.58000575 84 
130 60 1 2 12.835 MD 19.8 3.4618 s_5 27 2 81.58000575 84 
60 130 6 2 18.25 PM 30 3.4618 s_5 27 2 73.42200517 84 
130 81 2 2 8.333 AM 40 5.4858 s_5 18 1 81.58000575 85 
81 130 6 2 16.333 PM 40 5.4858 s_5 18 1 81.58000575 85 
130 116 2 2 8.25 AM 30 2.1307 s_5 22 2 81.58000575 86 
116 130 6 2 15.25 MD 30 2.1307 s_5 22 2 81.58000575 86 
130 266 1 3 8.75 AM 30 9.4236 s_5 55 1 81.58000575 87 
266 150 1 3 11.25 MD 30 8.6098 s_5 55 1 81.58000575 87 
150 130 6 3 13.25 MD 30 1.3352 s_5 55 1 81.58000575 87 
130 127 7 3 15.583 MD 10 1.2711 s_5 55 1 81.58000575 87 
127 130 6 3 16.583 PM 10 1.2711 s_5 55 1 81.58000575 87 
130 78 2 3 5.835 AM 19.8 4.7004 s_5 25 1 81.58000575 88 
78 130 6 3 14.25 MD 30 4.7004 s_5 25 1 81.58000575 88 
130 125 2 1 7.915 AM 10.2 0.8257 s_5 21 1 81.58000575 89 
125 130 6 1 16.083 PM 10 0.8257 s_5 21 1 81.58000575 89 
123 399 1 3 8.083 AM 10 0.8573 s_5 80 2 81.58000575 90 
399 123 6 3 12.083 MD 10 0.8573 s_5 80 2 81.58000575 90 
123 123 5 1 21.083 PM 10 0 s_5 80 2 81.58000575 90 
123 123 6 1 3.083 MN 10 0 s_5 80 2 81.58000575 90 
130 127 3 3 16.583 PM 10 1.2711 s_5 79 1 81.58000575 91 
127 130 6 3 19.915 PM 10.2 1.2711 s_5 79 1 81.58000575 91 
130 127 3 3 16.583 PM 10 1.2711 s_5 64 2 81.58000575 92 
127 130 6 3 19.915 PM 10.2 1.2711 s_5 64 2 81.58000575 92 
130 123 7 1 7.875 AM 15 0.5137 s_5 74 2 81.58000575 93 
123 130 6 1 8.793 AM 14.8 0.5137 s_5 74 2 81.58000575 93 
130 132 5 1 9.25 AM 30 1.009 s_5 74 1 81.58000575 94 
132 130 6 1 10.25 MD 30 1.009 s_5 74 1 81.58000575 94 
130 132 5 1 9.25 AM 30 1.009 s_5 71 2 81.58000575 95 
132 130 6 1 10.25 MD 30 1.009 s_5 71 2 81.58000575 95 
130 128 1 3 7.625 AM 15 1.1768 s_5 46 2 81.58000575 96 
128 130 6 3 12.083 MD 10 1.1768 s_5 46 2 81.58000575 96 
130 128 1 3 14.167 MD 20 1.1768 s_5 46 2 81.58000575 96 
128 130 6 3 19.083 PM 10 1.1768 s_5 46 2 81.58000575 96 
130 399 1 2 7.25 AM 30 1.3591 s_5 51 1 81.58 97 
399 130 6 2 19.25 PM 30 1.3591 s_5 51 1 81.58 97 
130 107 5 3 20.25 PM 30 3.8638 s_5 51 1 81.58 97 
107 130 6 3 2.25 MN 30 3.8638 s_5 51 1 81.58 97 
130 30 2 2 10.00 MD 60 3.797 s_5 51 2 81.58 98 
30 130 6 2 12.25 MD 30 3.797 s_5 51 2 81.58 98 
130 131 3 3 16.04 PM 5 0.3929 s_5 51 2 81.58 98 
131 130 6 3 18.54 PM 4.8 0.3929 s_5 51 2 114.21 98 
130 107 5 3 20.25 PM 30 3.8638 s_5 51 2 81.58 98 
107 130 6 3 2.25 MN 30 3.8638 s_5 51 2 81.58 98 
130 131 3 3 16.00 PM 10 0.3929 s_5 18 2 81.58 99 
131 130 6 3 18.29 PM 35 0.3929 s_5 18 2 114.21 99 
130 161 5 5 20.54 PM 25 1.6041 s_5 18 2 81.58 99 
161 130 6 5 2.42 MN 10 1.6041 s_5 18 2 81.58 99 
216 235 1 2 10.42 MD 50 4.3501 s_2 73 2 41.84 100 
235 216 6 2 21.58 PM 50 4.3501 s_2 73 2 41.84 100 
216 242 1 2 7.25 AM 30 3.4147 s_2 40 2 41.84 101 
242 216 6 2 20.75 PM 30 3.4147 s_2 40 2 41.84 101 
216 79 1 4 8.42 AM 50 11.0253 s_2 25 2 41.84 102 
79 216 6 4 18.42 PM 50 11.0253 s_2 25 2 39.75 102 
216 79 1 4 5.50 AM 60 11.0253 s_2 21 2 41.84 103 
79 216 6 4 17.50 PM 60 11.0253 s_2 21 2 39.75 103 
216 7 1 2 13.33 MD 40 6.7904 s_2 18 1 41.84 104 
7 216 6 2 17.58 PM 30 6.7904 s_2 18 1 41.84 104 
130 127 7 3 11.167 MD 20 1.2711 s_5 50 1 81.58000575 105 
127 130 6 3 12.583 MD 10 1.2711 s_5 50 1 81.58000575 105 
130 65 7 3 15.25 MD 30 4.3327 s_5 50 1 81.58000575 105 
